"lon","lat","owner","watershed","type","form"
"-92.05148179","30.14776428","CITY-ROW","CASEY NORTH","CURB INLET",""
"-92.06193453","30.16435232","CITY-ROW","BILBO BASIN","CURB INLET",""
"-92.06558448","30.1644251","CITY-ROW","BILBO BASIN","CURB INLET",""
"-92.06803227","30.1632535","CITY-ROW","BILBO BASIN","CURB INLET",""
"-92.04946831","30.17565364","CITY-ROW","TEST TEST","CURB INLET",""
