lon,lat,owner,watershed,type,form
-92.03617725,30.22186863,CITY-ROW,WILSHIRE,CURB INLET,
-92.03609792,30.23044005,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03595881,30.22669052,CITY-ROW,HARMON,CURB INLET,
-92.03587147,30.23056406,CITY-ROW,WINDSOR,CURB INLET,
-92.03585987,30.23563057,CITY-ROW,WINDSOR,CURB INLET,
-92.03582579,30.2266729,CITY-ROW,HARMON,CURB INLET,
-92.03582494,30.23049509,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03576293,30.22680189,CITY-ROW,PLACENTIA,CURB INLET,
-92.03574425,30.2299572,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03564643,30.22493004,CITY-ROW,,CURB INLET,
-92.03562119,30.22233964,CITY-ROW,,GRATE INLET,
-92.03560055,30.22485581,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03556662,30.23002689,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.0355499,30.22205316,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03554395,30.222378,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03553053,30.23562802,CITY-ROW,WINDSOR,CURB INLET,
-92.03547765,30.22209722,CITY-ROW,PLACENTIA,CURB INLET,
-92.03537776,30.23405788,CITY-ROW,WINDSOR,CURB INLET,
-92.03535498,30.23397795,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03532551,30.23161489,CITY-ROW,SPRINGFIELD NORTH,GRATE INLET,
-92.03530575,30.22175621,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03530386,30.22238878,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03522731,30.22178837,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03520772,30.2316728,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03516671,30.22712969,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0350383,30.23557863,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03501939,30.23101937,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03501025,30.22887469,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03496328,30.2309366,CITY-ROW,WINDSOR,GRATE INLET,
-92.03494635,30.23558482,CITY-ROW,WINDSOR,CURB INLET,
-92.03493299,30.22687398,CITY-ROW,ST. AUGUSTINE CREEK,CURB INLET,
-92.0348744,30.23571315,CITY-ROW,WINDSOR,CURB INLET,
-92.03487111,30.23563535,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.0348498,30.22538741,CITY-ROW,CHIPPEWA,CURB INLET,
-92.03483797,30.22853332,CITY-ROW,COFFEE BLUFF,CURB INLET,
-92.03483514,30.2289501,CITY-ROW,BILBO BASIN,GRATE INLET,
-92.03480868,30.22238647,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03480597,30.22269154,CITY-ROW,ST. AUGUSTINE CREEK,GRATE INLET,
-92.03479985,30.22532036,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03479352,30.22846673,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03473395,30.22242983,CITY-ROW,WINDSOR,CURB INLET,
-92.03472381,30.22273436,CITY-ROW,HORSESHOE,CURB INLET,
-92.03463123,30.23055044,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0345805,30.22866263,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03456441,30.23409383,CITY-ROW,CASEY NORTH,CURB INLET,
