lon,lat,owner,watershed,type,form
-92.07291124,30.22235216,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04398483,30.21154482,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0473047,30.21943458,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0451431,30.21601073,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04206126,30.21083682,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.04136878,30.20962623,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.06454475,30.22752088,CITY-ROW,BILBO BASIN,CURB INLET,
-92.06408492,30.2281235,CITY-ROW,BILBO BASIN,CURB INLET,
-92.06350484,30.22840957,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.06288015,30.22902312,CITY-ROW,BILBO BASIN,CURB INLET,
-91.98676143,30.25358006,CITY-ROW,BILBO BASIN,CURB INLET,
-91.98732629,30.25364216,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-91.98885221,30.25382491,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03535246,30.18863866,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04252937,30.15180789,CITY-ROW,BILBO BASIN,CURB INLET,
-91.98778959,30.21648609,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.04410115,30.15310822,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05983529,30.14558278,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04511408,30.19473371,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05190427,30.20023307,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04273631,30.19281467,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04272915,30.1928095,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04146608,30.1914618,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.04146199,30.19144989,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04792483,30.19708843,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.01402142,30.22394951,CITY-ROW,BILBO BASIN,CURB INLET,
-92.01377303,30.22376696,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.01354643,30.22360043,CITY-ROW,BILBO BASIN,CURB INLET,
